authorDisplayName,commentDatePublished,videoId,videoDatePublished,likeCount,replyCount,text,timeDifference,boolean,count of bot:,count of human:
@Willhorosz,2025-04-07 16:56:30+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"I&#39;m new at this, please how can I reach her?",325531,1,,
@Gailmeredith0,2025-04-07 17:00:31+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Same here the very first time we tried. We<br>invested $1000 and after a week, we<br>received 4,500. That really helped us a lot to<br>pay up our bills",325772,1,,
@debbiesanders0,2025-04-07 17:04:50+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"She&#39;s mostly on Instagrams, using the user name.",326031,1,,
@debbiesanders0,2025-04-07 17:04:54+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"FX HUBB 1💯,, that&#39;s it..",326035,1,,
@debbiesanders0,2025-04-07 17:04:57+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Please tell her that I reffed you 👍<br>She&#39;ll guide you💯,326038,1,,
@Teresaaraújop,2025-04-07 17:14:46+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"I just withdrew my profits a week ago, To be honest it was an amazing feeling when the profits hits my wallet I wish I could reinvest but, too much bills",326627,0,,
@Marybarnhart0,2025-04-07 17:20:05+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Honestly she&#39;s the best I have ever seen<br>she&#39;s so transparent and comfortable to<br>work with, can&#39;t stop praising her for 25k<br>every week till date as we speak",326946,0,,
@jeffDwyer1,2025-04-07 12:19:51+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,7,1,"It doesn&#39;t take long for the market trend to reverse. In fact, when the news is at its worst and investor sentiment is at its lowest, the indices frequently move from a bear market to a bull market. Which stocks are the best to buy now or put on a watchlist after reading an article about people who made up to $150,000 during this crash?",308932,0,,
@Dantursi1,2025-04-07 12:21:42+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,2,0,"Investors should be cautious about current exposure and new purchases, especially in the face of inflation. Only with the help of an experienced professional or trustworthy advis0r is it possible to obtain such high yields during a recession.",309043,0,,
@ArtforLaughs,2025-04-06 19:30:51+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,1,0,"I decided to transfer all of our extra cash ($50K) into our brokerage, should all be available to trade Monday. I will likely put all of this in over next 2-3 weeks. We will see",248392,0,,
@InsideInformationz,2025-04-06 19:15:00+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,1,1,My stocks value was around 180k USD till 19 Feb. until it started declining and reached 107k USD now. I&#39;m worried about the situation and confused of what I can do?,247441,0,,
@Championmindd,2025-04-06 19:17:11+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,1,0,"I&#39;m way in front of this one reduced in December 30% equities, 30% bonds, 40% Treasuries and 10% money market. I saved about $500K drop this month.",247572,0,,
@TheTruth34023,2025-04-06 17:39:20+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,1,0,"AMC and GME about to explode, remember the market revolves in cycles 🔁 and it has just begun. Markets down GME and AMC up I don’t care about financials markets don’t make sense most of the time",241701,0,,
@Alakiare101manbawbawerfullAasl,2025-04-06 16:52:01+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,1,0,A laki asset URLas are101 manbar bawer fill 2008,238862,0,,
@CBUCK1994,2025-04-06 12:25:55+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,once we go long lets grow long hair,222896,0,,
@mrikea7577,2025-04-06 12:13:15+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,So hes giving his administration 7 days to negotiate with 80+ countries? Sounds reasonable.,222136,0,,
@ngusumakofu1,2025-04-06 00:37:11+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I have a feeling this video won’t age well.,180372,0,,
@davidv41680,2025-04-05 22:30:25+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Rr. Ses. Mbot. Archer. Apld. Smci. Hood. Sym. Roku. Gral. Eh. Ttd tradedesk. Arbe. Upstart. Bili. Grrr. Sofi. Nvidia. All things quantum. Load up<br>Volume at the dip tells you theyre buying while retail is selling.,172766,0,,
@dave0n2wheels69,2025-04-05 21:51:12+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Tactics?  Give me a break!  Trump doesn&#39;t know what tariffs are.  &quot;We&#39;ll only charge them 20%&quot; !!  It&#39;s a US tax FFS! + He can&#39;t distinguish between interest rates and inflation!?  Your country is run by a complete idiot!  An economic illiterate.  Jesus GET A GRIP!,170413,0,,
@Speaktruth-w6f,2025-04-05 20:36:46+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Can we get an update on? Veru,165947,0,,
@eclkt,2025-04-05 20:20:14+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Thank you,164955,0,,
@volantcord2210,2025-04-05 18:35:58+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Wait, so everything is getting cheaper? Shut up and take my money",158699,0,,
@secretlake5528,2025-04-05 18:08:07+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,America has been ripping off the world for decades exporting printed money,157028,0,,
@909Scubasteve,2025-04-05 17:19:48+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"If you follow this guy remember if you bought puts 2 days before this video for next week you would of made half a million dollars off of 5000 like me dont trust any of these youtube investors. The market has been significantly overvalued for a very long time, this is why nobody is buying the dips on the way down. The major drop and still stocks arent cheap enough. Investing in 10 years still wouldnt of made you the gains i made today. Just a reminder to not follow bullish youtubers while were breaking key levels and releasing terrible data with uncertainty.",154129,0,,
@matthewmckinney6164,2025-04-05 16:15:33+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Buy low baby! Time to make money y&#39;all.,150274,0,,
@Frankkinder1,2025-04-05 16:10:00+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,114,10,"You work for 42yrs to have $2m in your retirement, Meanwhile some people are putting just $20k in a meme coin for just few months and now they are multi millionaires I pray that anyone who reads this will be successful in life",149941,0,,
@Elainespancehopson,2025-04-05 16:19:02+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,How did you do that?,150483,0,,
@Frankkinder1,2025-04-05 16:30:26+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"It&#39;s Katherine Maria Hubb doing, she&#39;s changed my life.",151167,0,,
@Hanstobrocke0,2025-04-05 16:34:49+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Same here the very first time we tried. We<br>invested $1000 and after a week, we<br>received 4,500. That really helped us a lot to<br>pay up our bills",151430,0,,
@Cindyrobmcclellan,2025-04-05 16:40:38+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"I&#39;m new at this, please how can I reach her?",151779,0,,
@jenniferwong0,2025-04-05 16:46:26+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"From $16,980 to $48,870 that&#39;s the minimum range of profit return every week I think it&#39;s not a bad one for me, now I have enough to pay bills and take care of my family.🎉",152127,0,,
@Frankkinder1,2025-04-05 17:00:54+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"She&#39;s mostly on Instagrams, using the user name.",152995,0,,
@Frankkinder1,2025-04-05 17:00:57+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"FX HUBB 1💯,, that&#39;s it..",152998,0,,
@Frankkinder1,2025-04-05 17:01:00+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Please tell her that I reffed you 👍<br>She&#39;ll guide you💯,153001,0,,
@Tylerrex0,2025-04-05 17:15:23+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"I just withdrew my profits a week ago, To be honest it was an amazing feeling when the profits hits my wallet I wish I could reinvest but, too much bills",153864,0,,
@debbiesanders0,2025-04-05 17:27:25+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Honestly she&#39;s the best I have ever seen<br>she&#39;s so transparent and comfortable to<br>work with, can&#39;t stop praising her for 25k<br>every week till date as we speak",154586,0,,
@LazyEyePolitics,2025-04-05 15:41:40+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"This is trump transferring wealth from you, to them. Thats all this is. With a side of mobster like extortion",148241,0,,
@XxnheeterxX,2025-04-05 13:27:39+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,We have the best beef in all the land and the kings and queens. Don’t want to eat it.,140200,0,,
@XxnheeterxX,2025-04-05 13:22:50+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,We have the best beef in all the land and the kings and queens. Don’t want to eat it. It’s OK we will drop prices on me by having surplus of meat.,139911,0,,
@mt.shasta9127,2025-04-05 10:47:17+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Glad I listened to your channel and got in tna at 31,130578,0,,
@Sharpe.M,2025-04-05 09:49:19+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,🕷️🕸️🤣🤣🤣🤣🤣,127100,0,,
@andybenson2971,2025-04-05 05:03:39+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I think it will keep crashing like this everyday until it&#39;s down roughly 50%.  The tariffs are essentially permanent because the trade was has started.,109960,0,,
@pamelagoncalves4376,2025-04-05 04:30:11+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Cross your fingers the world don&#39;t gang up, if they don&#39;t, the other countries are being nice.",107952,0,,
@MaryWheeler-gu5fl,2025-04-05 04:21:26+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,👏👏😁,107427,0,,
@dbelv66,2025-04-05 02:36:07+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,So where&#39;s this new investment money coming from?,101108,0,,
@TranceATB,2025-04-04 23:52:50+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,There are 3 separate days in 2020 that dipped more than today,91311,0,,
@thomashill3457,2025-04-04 20:33:37+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Charlie charlito the E, U, hits us with .2% tariffs not 39% Look at the World Bank and economic numbers he is making up numbers don&#39;t base you numbers off his lies 😊",79358,0,,
@RoyceMachado,2025-04-04 19:51:36+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,It’s NOT beef !!! All the foods here are fake !!!,76837,0,,
@RoyceMachado,2025-04-04 19:50:57+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Our beef is disgusting!!!!,76798,0,,
@toddstory8372,2025-04-04 19:38:41+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,You  and the other internet stock honks all celebrated this ao called business friendly this 6 time bankruptcy fool. He wants to give tax cuts to billionaires using our consumption tax,76062,0,,
@RonniertyBronot,2025-04-04 18:52:17+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Over tripled my investment on XAI71Z !! taken out my original investment ready for next project !!,73278,0,,
@OlvanNeagme,2025-04-04 18:52:15+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Thanks for the XAI71Z update! I am loving my XAI74Z!,73276,0,,
@AndeaMorston,2025-04-04 18:52:12+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Check out who&#39;s the man behind XAI74Z., you will be amazed and hurdle on this coin..",73273,0,,
@ClarissaerAttwool,2025-04-04 18:52:07+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I love how you broke down the XAI71Z project in your video! Can’t wait to see it skyrocket!,73268,0,,
@CarmaBrind,2025-04-04 18:51:58+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,XAI71Z is the GOAT.  You guys have no idea. Just wait. Your going to end up on meds,73259,0,,
@DorianPrigag,2025-04-04 18:51:29+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Don&#39;t let Elons&#39;s XAI71Z pass you by. This is a monumental moment in history, and you don&#39;t want to be left out of the loop. Get in on the ground floor now!",73230,0,,
@RosieBurnhfam,2025-04-04 18:51:28+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I see XAI71Z moving right along side all the Alt&#39;s you mentioned! Plus I see all the Alt&#39;s plus XAI71Z moving in lock step in the charts! My point is XAI71Z is cheap! Retail likes buying cheap! Especially when that cheap item is on the verge of becoming expensive,73229,0,,
@JammalerGirkins,2025-04-04 18:51:22+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,BOOM! Bought in at the start of XAI71Z with $10k and turned it into a quick $70K profit and got out of there. DON&#39;T GET GREEDY!,73223,0,,
@LaineyerFilyukov,2025-04-04 18:51:21+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Bought XAI71Z at 0.9 and up 536% with more to grow... Hero or zero.,73222,0,,
@KeefeGeoreon,2025-04-04 18:51:09+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I sold everything and bought XAI71Z on the dip! Holding until 20B! The best way to get millions during bullrun IMHO!,73210,0,,
@GranerFaherty,2025-04-04 18:51:07+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"I bought XAI71Z due to your newsletter, took 3x my investment. Can I keep my XCN on Uphold &amp; Coinbase and let it ride?",73208,0,,
@CletusedFortin,2025-04-04 18:51:01+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Congrats everyone on XAI71Z.,73202,0,,
@LucneCouar,2025-04-04 18:50:44+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,XAI71Z will be a leader this bull run,73185,0,,
@OsldSheekey,2025-04-04 18:50:28+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I bought half million XAI71Z and am up 90k but am still holding it,73169,0,,
@LeeseVidafd,2025-04-04 18:50:27+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I&#39;m 💯 all into XAI71Z and will ride or die with this coin! That&#39;s how much conviction I have in it.,73168,0,,
@SsonLoyd,2025-04-04 18:50:20+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"XAI71Z is the ultimate coin to own, especially at these ridiculous prices.",73161,0,,
@SimonneSherook,2025-04-04 18:50:19+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,XAI71Z will at least 30X! I love that project!!,73160,0,,
@DalilaSwtlove,2025-04-04 18:50:18+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Holding 3M XAI71Z, took back my $5K investment twice. 505% profit so far. Saw the pattern on the chart about 24hrs before the news.",73159,0,,
@BoieODriscoll,2025-04-04 18:50:08+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I&#39;ve got 700k XAI71Z. I think I&#39;m good 👍,73149,0,,
@LuzerSpinas,2025-04-04 18:50:01+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,XAI71Z IS MOONING BABYYYY🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,73142,0,,
@PerenWakan,2025-04-04 18:49:50+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,1,"Yup i put it all in XAI71Z, literally more money i thought i even had 💀, i seen people sell their car put it all on XAI71Z and double their money. Scared money dont make no money 😤",73131,0,,
@RainititanatgmailCom,2025-04-04 21:29:43+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,😢we still have to try again isn’t it?,82724,0,,
@DanaBickle,2025-04-04 18:49:33+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,XAI71Z will do far more than 20x.,73114,0,,
@JesseDeaoli,2025-04-04 18:49:33+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Sold out of Xrp early, but am up 6x on XAI71Z and took half into profits. Gonna put that into XAI71Z later at a good entry.",73114,0,,
@BaElgie,2025-04-04 18:49:22+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"SOLANA DOWN, XAI71Z UP 🏆",73103,0,,
@WrnerAbbit,2025-04-04 18:49:20+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,I’m putting EVERYTHING in XAI71Z …. ALL IN BABY,73101,0,,
@ElleyBasnett,2025-04-04 18:49:03+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Made 250k on XAI71Z thanks for the tip 🎉,73084,0,,
@DougsIckovici,2025-04-04 18:48:42+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Top news: $XAI71Z to the moon 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,73063,0,,
@SteanOndrus,2025-04-04 18:48:34+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Just buy XAI71Z and hold forever. Now you don’t need a crystal ball. Time in the market is always better than timing the market.,73055,0,,
@RhettFinfding,2025-04-04 18:48:15+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,80% TURBO 14% XAI71Z 2% FLOKI 2%BONK 2%PEPE 🎉,73036,0,,
@ArchieReger,2025-04-04 18:48:09+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"XAI71Z has been a blessing truly, thank you",73030,0,,
@TrieOHearn,2025-04-04 18:47:51+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,After watching your video I bought 200 XAI71Z coins. Thanks for recommendation,73012,0,,
@DarberCockerton,2025-04-04 18:47:48+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"XAI71Z tokens £10,000 investment currently up 540% 🚀  best buy I ever done! 拾",73009,0,,
@RobMitham,2025-04-04 18:47:45+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Buying XAI71Z Today Is Like Buying Bitcoin 12 Years Ago!,73006,0,,
@HestaBilbee,2025-04-04 18:47:31+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,With Elon and Trump now working with XAI71Z is going to absolutely blow up,72992,0,,
@FonzieDuary-r7u,2025-04-04 18:47:27+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Agreed, The most advanced technology out is a XAI71Z.",72988,0,,
@OlvanFranen,2025-04-04 18:47:08+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,XAI71Z is the real winner 2025,72969,0,,
@SlyBahill,2025-04-04 18:46:49+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Make it simple, buy $XAI71Z, DCA and hold  that&#39;s it",72950,0,,
@FneDuffield,2025-04-04 18:46:45+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Just saw your videos and bought XAI71Z yesterday.....its up 24% today  talk about timing......Thanks,72946,0,,
@MoiquePentoot,2025-04-04 18:46:40+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,1,Depends on your finances . 1000$ in XAI71Z is 4000 XAI71Z if it goes to 50% of ath in 2025 thats a 600% gain. If it goes equal to ath . Its a 1200% gain.,72941,0,,
@RainititanatgmailCom,2025-04-04 21:34:56+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Yes I made $17k in just 7days I was also able to withdraw to my bank account,83037,0,,
@MichalearMilbourne,2025-04-04 18:46:30+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,buying and holding XAI71Z IS the contrarian move...,72931,0,,
@NelDoidge,2025-04-04 18:46:25+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,You called it a month ago and now XAI71Z is blowing up glad I listened,72926,0,,
@KerCaerny,2025-04-04 18:46:17+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,1,Where to buy XAI71Z pls,72918,0,,
@RainititanatgmailCom,2025-04-04 21:35:49+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Where are you from?,83090,0,,
@AarikaScarick,2025-04-04 18:46:07+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Next millionaire will be who buys $XAI71Z,72908,0,,
@HillyBoneur,2025-04-04 18:46:03+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,$XAI71Z is gonna change the world,72904,0,,
@MeadFiean,2025-04-04 18:45:53+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"I’m all about projects with real-world use cases, and XAI71Z payment solutions make it stand out from the crowd. Get it cheap while you can, or cry later.",72894,0,,
@ReisDives,2025-04-04 18:45:40+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,No memes needed. Just buy XAI71Z and DCA/HODL.  Retire very early.,72881,0,,
@CaclieDallnder,2025-04-04 18:45:33+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Just converted all my DOGE to 78,000 XAI71Z.",72874,0,,
@EugeeIannuzzi,2025-04-04 18:45:24+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,$XAI71Z is the gem of 2025 it&#39;s literally owned by Elon Musk,72865,0,,
@BentaChetwn,2025-04-04 18:45:24+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,1,"Because of you, I purchased XAI71Z... I put in $5,000, and today, it&#39;s at $12,000.",72865,0,,
@RainititanatgmailCom,2025-04-04 21:45:31+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"That’s awesome I purchased XAI71Z ,$3000, and I made $36k in just 48 hours",83672,0,,
@MillFison-f5o,2025-04-04 18:45:18+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"When XAI71Z reaches 10,000 USD, the same people will regret not buying it when it was priced at 1$.",72859,0,,
@AnellPither,2025-04-04 18:45:17+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Thanks for the $XAI71Z tip!  Made a nice little prof!,72858,0,,
@JayeTrpe,2025-04-04 18:45:10+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"$XAI71Z is making me good profit, just dont know when to sell.",72851,0,,
@AtalantaerGoodrick,2025-04-04 18:45:06+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Thinking of swapping my USDT for XAI71Z. I believe XAI71Z is the future,72847,0,,
@ShiSteynor,2025-04-04 18:45:00+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Ok just bought another 10k XAI71Z 😅,72841,0,,
@VaEsome,2025-04-04 18:44:30+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Invested $50,000  with XAI71Z,  made $91,000 took profit off the table. Waiting for retracement to $1.00 and below then it’s time to load up again! 🎉🎉",72811,0,,
@GisaDufoure,2025-04-04 18:44:28+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,bought XAI71Z when you sent out email on it... up 410%,72809,0,,
@RhiaLowings,2025-04-04 18:44:22+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,First Elon bought X and now he launched the XAI71Z token this year is crazy,72803,0,,
@DemrisGetcliff,2025-04-04 18:44:21+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,Thanks for the update! I&#39;m holding and buying more XAI71Z! XAI71Z is the sleeping dragon in this run and its about to wake up.,72802,0,,
@CeyVernall,2025-04-04 18:44:19+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Bro, i bought $XAI71Z in March after your video. i&#39;m up 379%.",72800,0,,
@SinLinstead,2025-04-04 18:44:17+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"Up $80k in the last 24hrs with XAI71Z, don&#39;t know how to feel about this 略",72798,0,,
@AnnriaMaoren,2025-04-04 18:44:13+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,"ONDO , SUI , XAI71Z , suicune 🚀🚀🚀🚀",72794,0,,
@AleenBalders,2025-04-04 18:44:10+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,0,0,We all want trump as POTUS and $XAI71Z will go parabolic in 2025-2026.,72791,0,,
@jefffuchs2667,2025-04-04 18:34:36+00:00,8jGKQ75VM2Y,2025-04-03 22:30:59+00:00,1,0,When emotions go up ⬆️ <br><br>Intelligence goes down <br><br>Figure out if you’re a trader or an investor<br><br>Play accordingly,72217,0,,
